site_name,month1,month2,month3,month4
243_Bluewater,99848612445,105984186401,79077461089,66063120707
241_Milton Keynes,139616569197,130339871657,72810180713,20500035575
051_Grafton_Street,66984433680,66009284214,72721834704,45789224107
238_Angel,81695339915,94766009310,69413988154,38431849782
234_Newcastle,107974112091,107430759016,63378011497,25234176709
045_Belfast,60390453215,49027151496,60988817185,31564094304
236_Southampton,70974574166,87239703531,56909781898,36502960628
095_Lakeside,43969951747,56595024029,56567786823,43214019203
031_Liffey-Valley,54845703716,50985675259,53065182870,37601978351
221_222_Brown_Thomas,57428653637,70734353268,52707397205,55322373783
